Sno	en	de	ta
1	I sleep and you sleep	Ich schlafe und du schläfst	நான் தூங்குகிறேன் மற்றும் நீ தூங்குகிறாய்
2	Hans is sleeping and Peter is sleeping	Hans schläft und Peter schläft	செந்தில் தூங்குகிறான் மற்றும் ராஜேஷ் தூங்குகிறான் 
3	Hans wants to sleep and Peter wants to sleep	Hans will schlafen und Peter will schlafen	செந்தில் தூங்க விரும்புகிறான் மற்றும் ராஜேஷ் தூங்க விரும்புகிறான் 
4	My wife wants to buy a car and my son wants to buy a motorcycle	Meine Frau will ein Auto kaufen und mein Sohn will ein Motorrad kaufen	எனது மனைவி ஒரு கார் வாங்க விரும்புகிறாள் மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகிறான் 
5	The driver was killed and the passengers were seriously injured	Der Fahrer wurde getötet und die Passagiere wurden ernsthaft verletzt	ஓட்டுநர் இறந்தார் மற்றும் பயணிகள் தீவிரமாக காயமடைந்தனர்
6	Hans can sleep and Hans can dream	Hans kann schlafen und Hans kann träumen	செந்தில் தூங்க முடியும் மற்றும் செந்தில் கனவு காண முடியும் 
7	I see Hans sleeping in the car and I see Hans sleeping on the bus	Ich sehe Hans der schläft im Auto und ich sehe Hans der schläft im Bus	செந்தில் காரில் தூங்கிக்கொண்டிருப்பதை நான் காண்கிறேன் மற்றும் ராஜேஷ் பஸ்ஸில் தூங்குவதை நான் காண்கிறேன்
8	Hans must be able to sleep and Peter must be able to sleep.	Hans muss schlafen können und Peter muss schlafen können	செந்தில் அவர்களால் தூங்க முடியும் மற்றும் ராஜேஷ் அவர்களால் தூங்க முடியும் 
9	Hans eats apples and Peter eats pears	Hans ißt Äpfel und Peter ißt Birnen	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் 
10	Hans eats apples and Peter eats pears	Hans ißt Äpfel und Birnen ißt Peter	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார் 
11	Mari reads articles and her sons read thick books	Mari liest Artikel und ihre Söhne lesen dicke Bücher	லதா கட்டுரைகள் படிக்கிறார் மற்றும் அவளுடைய மகன்கள் தடித்த புத்தகங்களை படிக்கிறார்கள்
12	Mari reads books and Jüri writes books	Mari liest Bücher und Jüri schreibt Bücher	லதா புத்தகங்கள் படிக்கிறார் மற்றும் பவித்ரா புத்தகங்கள் எழுதுகிறார்
13	Mari reads books and Jüri writes books	Bücher liest Mari und Jüri schreibt Bücher	புத்தகங்களை லதா படிக்கிறார் மற்றும் பவித்ரா புத்தகங்கள் எழுதுகிறார்
14	Mari reads books and Jüri writes books	Bücher liest Mari und Bücher schreibt Jüri	புத்தகங்களை லதா படிக்கிறார் மற்றும் புத்தகங்களை பவித்ரா எழுதுகிறார்
